stage,id,ping,mem,memExt,timestamp,init,drivers,p0,p1,p2,p3,yaw,pitch,roll
2,22877,21246,0.5980302095413208,0.005118250846862793,84963142,255,0,98.16438293457031,98.18682861328125,98.32146453857422,98.5608139038086,-14.651561737060547,0.7278165221214294,-2.018763542175293
4,62872,51793,0.6091474294662476,0.005118250846862793,88045026,255,0,98.13446807861328,98.8001708984375,98.17935180664062,97.85023498535156,-130.674072265625,-4.013815879821777,-0.7810302376747131
0,62943,13177,0.6268860101699829,0.005118250846862793,86182285,255,0,98.63561248779297,98.5234146118164,98.6131820678711,98.14195251464844,-113.68818664550781,0.9574451446533203,-1.7724508047103882
1,1609,15880,0.6153759956359863,0.005118250846862793,86402325,255,0,97.01249694824219,97.43136596679688,98.74781036376953,98.12698364257812,-64.09024047851562,1.256039023399353,-0.9595412611961365
6,35431,62841,0.59872967004776,0.005118250846862793,88562250,255,0,98.58325958251953,98.02974700927734,98.19430541992188,98.26910400390625,142.50709533691406,-9.556096076965332,-1.7080013751983643
5,4271,97226,0.5961650609970093,0.005118250846862793,85585548,255,0,98.38877868652344,98.17186737060547,98.02227020263672,98.18682861328125,124.59358215332031,-5.258721351623535,-1.3016220331192017
4,62872,51793,0.6091474294662476,0.005118250846862793,88062185,255,0,98.25414276123047,98.8001708984375,98.24666595458984,97.96243286132812,-130.6738739013672,-4.010897636413574,-0.787397027015686
7,1257,78182,0.5642144680023193,0.005118250846862793,85022485,255,0,98.25414276123047,98.73284912109375,97.573486328125,98.38130187988281,-112.97586059570312,-0.3175008296966553,-1.0407263040542603
2,22877,21246,0.5980302095413208,0.005118250846862793,84982281,255,0,98.17186737060547,98.17186737060547,98.32146453857422,98.6056900024414,-14.658499717712402,0.7276886105537415,-2.018791913986206
3,31133,118451,0.6077063083648682,0.005118250846862793,88182206,255,0,97.75299835205078,98.37382507324219,98.36634063720703,98.91236877441406,128.43521118164062,-5.687164783477783,0.5173414945602417
5,4271,97226,0.5961650609970093,0.005118250846862793,85602440,255,0,98.46357727050781,98.17186737060547,98.02974700927734,98.23918914794922,124.59358215332031,-5.258721351623535,-1.3016220331192017
0,62943,13177,0.6268860101699829,0.005118250846862793,86202940,255,0,98.62813568115234,98.51593780517578,98.6056900024414,98.12698364257812,-113.68818664550781,0.9574451446533203,-1.7724508047103882
6,35431,62841,0.59872967004776,0.005118250846862793,88583972,255,0,98.63561248779297,98.1195068359375,98.2017822265625,98.2616195678711,142.5064239501953,-9.560467720031738,-1.6990435123443604
1,1609,15880,0.6153759956359863,0.005118250846862793,86422328,255,0,97.01998138427734,97.4388427734375,98.75529479980469,98.12698364257812,-64.09024047851562,1.256039023399353,-0.9595412611961365
