TIME,M1-PL,M1-PR,M2-PL,M2-PR,M1X,M1Y,M2X,M2Y,M3X,M3Y,M4X,M4Y,M5X,M5Y,M6X,M6Y,M7X,M7Y,M8X,M8Y,M9X,M9Y,M10X,M10Y,M1-AL-IN,M1-AL-OUT,M1-AR-IN,M1-AR-OUT,M2-AL-IN,M2-AL-OUT,M2-AR-IN,M2-AR-OUT,ORIGX,ORIGY,TARGX,TARGY,XEEX,XEEY,ERRORX,ERRORY,RMSE,AMPCTIME
3774.904285786,101.915,103.653,102.678,102.203,0.06701001393954531,2.8170631993656823,0.14370434951785627,5.06972110662166,0.41671381513494077,7.4423932388142475,0.2347008074056829,9.546149929617195,0.030566558754689943,13.349835408928072,-0.12916112376504962,16.43085247898462,-0.06559687986916463,18.62003778146139,-0.12087989021987156,20.771488098882596,-0.293161695085292,23.06155303728765,-0.3710983831283192,26.277185888298074,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.829034607601713,18.43170210374969,-7,29,-0.3710983831283192,26.277185888298074,-6.628901616871681,2.7228141117019256,7.1663137897420555,0.07787499999878378
3775.408030637,101.709,103.997,102.634,102.197,0.05537342414193902,2.8311922650898307,0.14224433422238492,5.087978334405912,0.40306133265872246,7.498290784547043,0.2030961643812701,9.593020290501109,-0.04884019056060818,13.446551382631107,-0.23691761962036328,16.478652606098287,-0.1423782805797702,18.71131715844645,-0.2424395582034633,20.876996280150994,-0.40318188438037716,23.16222474367727,-0.5162727939184528,26.336100102825405,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.8264862781525093,18.430735146870745,-7,29,-0.5162727939184528,26.336100102825405,-6.483727206081547,2.663899897174595,7.0096420126172525,210.03770899999984
3775.904897896,101.634,104.022,102.634,102.09,0.08737320892062717,2.823872469135585,0.15746064042103702,5.137002371974743,0.418220711655497,7.57482575961226,0.16734923025480875,9.680638079024993,-0.13124398962234496,13.536204513956122,-0.3823967583735406,16.559582839704156,-0.3313698935286624,18.794401068737244,-0.46970634277440904,20.983515370883744,-0.687399311451445,23.23200116349421,-0.8495715149934202,26.416023653177064,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.8439796724266697,18.42926780671179,-7,29,-0.8495715149934202,26.416023653177064,-6.15042848500658,2.5839763468229364,6.6711846256958545,0.06983399999960227
3776.504809599,101.64,104.347,102.79,102.059,0.0497912096980242,2.8493953973843507,0.12389368326097783,5.190543382936127,0.35352796969866374,7.621124736885886,0.10879123146609326,9.761071310318952,-0.31699744938151353,13.576106699569042,-0.6550211282131491,16.66078704857082,-0.6687238405733829,18.921222872959703,-0.7804652405608299,21.10654372888881,-1.0309650208197851,23.372666341635675,-1.216042051474171,26.551919130559895,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.8200668989749529,18.433226920366483,-7,29,-1.216042051474171,26.551919130559895,-5.7839579485258295,2.448080869440105,6.280706130176267,0.11354199999935588
3776.905729784,101.609,104.415,102.94,102.09,0.06979609817310317,2.836611956967266,0.13968930745531272,5.182111248474287,0.36003106534958973,7.61384889351705,0.0901592931541848,9.790533066413769,-0.3680310115442602,13.583624282157615,-0.7155313951607118,16.67237869772977,-0.762000735195649,18.936012917949004,-0.9143379274468113,21.13809661375854,-1.1781821135599977,23.408271316783082,-1.3510097498317528,26.653147851445343,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.8306084773009588,18.428067563033377,-7,29,-1.3510097498317528,26.653147851445343,-5.648990250168247,2.3468521485546567,6.117091290284258,0.07899999999949614
3777.40768408,101.622,104.659,103.003,102.009,0.06796103307696111,2.859443634601913,0.13095935361290634,5.19168276918859,0.3535346670165318,7.643195696696189,0.06134743168119794,9.802471264803811,-0.4102408574144316,13.631732077369133,-0.7958590256830214,16.698155198586655,-0.8264322817555863,18.96565893680572,-0.9948463855515846,21.168797494665014,-1.2490263419796233,23.46506143809644,-1.429217679248482,26.702010447787018,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.8277453739119058,18.431790008920505,-7,29,-1.429217679248482,26.702010447787018,-5.570782320751518,2.2979895522129823,6.026140692622243,314.65704099999846
3778.007146673,101.547,104.84,102.997,102.09,0.06594514039836175,2.8786069618391608,0.13596894737901954,5.214088444841604,0.34543426105383035,7.678280002754933,0.04587997606245531,9.825979136060097,-0.4584448027774728,13.682368836725571,-0.8734842884451306,16.728386124926082,-0.9575021411133291,19.002374559976666,-1.0806021922068123,21.232429004945303,-1.3536350984364456,23.504191072496642,-1.5369641291269904,26.70439403030329,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.8241455655572552,18.430319287793438,-7,29,-1.5369641291269904,26.70439403030329,-5.46303587087301,2.295605969696709,5.925754609714478,0.1516660000007164
3778.508182283,101.478,105.028,102.972,102.047,0.05877901027839538,2.897212429338566,0.11488579072700733,5.267287978024061,0.30591003964917296,7.775388168758525,-0.05116081120225746,9.910909054937964,-0.6179648684432695,13.778283520986971,-1.052466759838615,16.82332709037232,-1.1608427575968214,19.099415106618093,-1.3566622861132882,21.30802407087645,-1.6319387938290753,23.570887430367012,-1.8546714942026288,26.73202245644144,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.8337428220637135,18.437919704100665,-7,29,-1.8546714942026288,26.73202245644144,-5.145328505797371,2.2679775435585583,5.62299987290209,0.09345900000035101
3779.007255153,101.472,105.259,102.959,102.04,0.040773271187241944,2.9179039541607175,0.07425986053287503,5.327881688459135,0.26157714401448384,7.829987422737769,-0.10241538485469026,9.980300044390562,-0.7857259837470336,13.815391336458468,-1.2779554065153154,16.89066414169919,-1.4260766371678588,19.14758883070771,-1.67212939836171,21.360231289919145,-2.005521881886846,23.608974036105835,-2.310511040329014,26.751254248282883,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.8241087303089698,18.445537025248427,-7,29,-2.310511040329014,26.751254248282883,-4.689488959670986,2.2487457517171165,5.200784956017875,0.07395799999976305
3779.507980375,101.465,105.534,103.097,102.009,0.0500423591181145,2.9597028628823363,0.06474632049978002,5.35128813067217,0.23438603346583364,7.8432002461045975,-0.15048203520141556,10.03430086701466,-0.8542663348196777,13.865979071777339,-1.4243252885450808,16.920959306432675,-1.6306495601392745,19.163864811180563,-1.8866578843455803,21.39141057781292,-2.2075531727269264,23.64702683216357,-2.528401579883188,26.86424789294282,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.8255754429223097,18.438998232927176,-7,29,-2.528401579883188,26.86424789294282,-4.471598420116813,2.135752107057179,4.955464609256165,130.13958300000007
