TIME,M1-AL-IN,M1-AL-OUT,M1-AR-IN,M1-AR-OUT,M2-AL-IN,M2-AL-OUT,M2-AR-IN,M2-AR-OUT,PUMP,GATE,M1-PL,M1-PR,M2-PL,M2-PR,M1X,M1Y,M2X,M2Y,M3X,M3Y,M4X,M4Y,M5X,M5Y,M6X,M6Y,M7X,M7Y,M8X,M8Y,M9X,M9Y,M10X,M10Y
14.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.653,100.559,105.947,101.347,0.03962426259032359,2.8072337389594573,0.09852005734905944,4.533474630022075,0.14081864268099697,6.373977733153568,0.05486442798388924,8.257366303632448,0.1645932839516615,11.876426693964413,0.2926102825807366,15.107730613903671,0.34747471056461965,17.360411060947037,0.8961189904034939,19.6869498833033,1.9751194074199458,21.884236548861995,3.2004249657267634,25.004752905831904
15.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.659,100.565,106.303,101.478,0.05486442798388924,2.7963601229024846,0.12801699862907512,4.560754675571404,0.1562976790785644,6.400361188222702,0.07315257064518565,8.272138035044495,0.17244379624137962,11.92569571084742,0.32187128293331657,15.140966939143942,0.4206272812098053,17.44904116767198,0.987559703709976,19.812509177684692,2.1031364060490145,22.046725030899836,3.2987237325312306,25.215710946668835
16.078,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.653,100.553,106.484,101.44,0.05486442798388924,2.799232396184067,0.1390749680682819,4.550019397459527,0.14630514129037153,6.370284870737388,0.09144071330648207,8.253673441216268,0.17244379624137962,11.907231117019192,0.31089842524203304,15.140966939143938,0.36576285322591606,17.449041167671975,0.9692715610486796,19.830973771512916,2.1031364060490145,22.046725030899832,3.3531966464746814,25.23834540116383
16.644,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1,100.647,100.553,106.803,101.39,0.03657628532259283,2.799232396184067,0.12078682540698549,4.550019397459527,0.14630514129037153,6.388749464565608,0.07315257064518565,8.253673441216268,0.15316319478835694,11.891198425376459,0.31089842524203304,15.159431532972164,0.36576285322591606,17.485970355328426,0.9692715610486796,19.886367552997587,2.1031364060490145,22.12058340621273,3.419882677662314,25.278028950839087
17.021,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1,100.653,100.553,106.89,101.54,0.03657628532259283,2.8066182618900903,0.11816956939470824,4.5508122344808974,0.12801699862907512,6.370284870737388,0.05486442798388924,8.253673441216268,0.1645932839516615,11.891198425376459,0.2926102825807366,15.159431532972164,0.4023391385485089,17.522899542984874,1.0058478463712726,19.923296740654035,2.1762889766942006,22.15751259386918,3.5296115336300864,25.296493544667314
17.578,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.659,100.559,106.997,101.653,0.02161322145586153,2.821054150470058,0.11305393476234382,4.564111836029168,0.13134207742364024,6.410571218851599,0.05818950677845436,8.275495195502259,0.1496302200849302,11.894555585834224,0.27605688477499757,15.190887003698277,0.40566421734307423,17.581650484927312,1.0346172914977476,19.97482241287559,2.197902198150062,22.21626353581162,3.5878010404085408,25.410638268094424
18.033,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.659,100.565,107.272,101.747,0.0484175618975764,2.7852312437533513,0.1285370174561189,4.532333553285563,0.1398582752040587,6.367362446428869,0.06670570455887281,8.25075101690775,0.17643456052664508,11.869811407239714,0.3227397018170166,15.193438296320092,0.4690448431073819,17.593835493989253,1.109129836252732,20.012697285486638,2.316147251898253,22.32077151401468,3.6694698088341386,25.515146246297487
18.534,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.647,100.547,107.534,101.722,0.03657628532259283,2.817696990012294,0.11669574088113532,4.553720571422309,0.14081864268099697,6.388749464565615,0.07315257064518565,8.272138035044495,0.1645932839516615,11.89119842537646,0.30480240094284206,15.220980155587302,0.43891542387110194,17.652151699782447,1.079000417016452,20.071013491279835,2.304305975323269,22.36062312597965,3.694204817581748,25.536533264434233
19.125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.653,100.553,107.759,101.672,0.018288142661296414,2.825082855718321,0.1097288559677787,4.579219269399628,0.1097288559677787,6.407214058393839,0.05486442798388924,8.272138035044492,0.13487505212706052,11.92812761303291,0.2926102825807366,15.242522205199172,0.4206272812098055,17.689080887438895,1.079000417016452,20.126407272764506,2.272009834228871,22.460017671666403,3.7124929602430443,25.610391639747128
19.659,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.647,100.54,108.015,101.653,0.018288142661296414,2.8066182618900974,0.1020987272941869,4.556841627607183,0.12801699862907512,6.407214058393835,0.03657628532259283,8.272138035044495,0.1463051412903651,11.89119842537646,0.2926102825807366,15.251754502113288,0.4206272812098055,17.70754548126712,1.1155767023390448,20.163336460420954,2.3225941179845657,22.43448150129255,3.8222218162108166,25.610391639747128
